function,generator,score
f13,halton,6012.847170660152
f13,halton,21910.571480715014
f13,halton,4799.912443274374
f13,halton,33916.08066194535
f13,halton,28616.533179614173
f13,halton,5257.337731138358
f13,halton,32592.350050099565
f13,halton,6859.582620800627
f13,halton,3622.7520588574985
f13,halton,26600.834527371473
f13,halton,43721.876031544445
f13,halton,30430.950810627925
f13,lattice,250818647333.69006
f13,lattice,68000029219.864815
f13,lattice,36131938132.81694
f13,lattice,28413473445.917976
f13,lattice,88849737726.68542
f13,lattice,113259044240.81714
f13,lattice,83693304731.7953
f13,lattice,25120308777.447365
f13,lattice,222538395297.68304
f13,lattice,55990483668.09282
f13,lattice,88323930700.46626
f13,lattice,155485492551.57767
f13,lattice,46918418222.42515
f13,lattice,77381344033.7739
f13,lattice,100633653537.2775
f13,lattice,31948758788.564823
f13,lattice,7316198108.395157
f13,lattice,3344497103.874707
f13,lattice,9302349770.965366
f13,lattice,252549935526.5998
f13,lattice,13979171422.850601
f13,lattice,94501099268.42674
f13,lattice,174053800395.58926
f13,lattice,123245537881.17622
f13,lattice,6536362752.417709
f13,lattice,45767156657.15989
f13,lattice,61494811219.456436
f13,lattice,45341921768.433876
f13,lattice,14362444004.49671
f13,lattice,15285953052.947334
